weekday,hours,exit_num,exit_name,latitude,longitude,action,total
1,2,49,Depew - Lockport - NY Route 78,42.95065,-78.70493,entrance,30
1,2,49,Depew - Lockport - NY Route 78,42.95065,-78.70493,exit,12
1,2,50,Niagara Falls - I-290,42.94892,-78.76393,entrance,84
1,2,50,Niagara Falls - I-290,42.94892,-78.76393,exit,73
1,2,55,Springville - Orchard Park - Lackawanna - West Seneca - US Route 219 - Ridge Road,42.82744,-78.79094,entrance,51
1,2,55,Springville - Orchard Park - Lackawanna - West Seneca - US Route 219 - Ridge Road,42.82744,-78.79094,exit,54
1,2,56,Blasdell - Orchard Park - Mile Strip Road (NY Route 179),42.79274,-78.81661,entrance,14
1,2,56,Blasdell - Orchard Park - Mile Strip Road (NY Route 179),42.79274,-78.81661,exit,12
1,2,57,Hamburg - East Aurora - NY Route 75,42.74377,-78.84037,entrance,11
1,2,57,Hamburg - East Aurora - NY Route 75,42.74377,-78.84037,exit,22
1,2,57A,Eden - Angola,42.65908,-78.9609,entrance,8
1,2,57A,Eden - Angola,42.65908,-78.9609,exit,9
1,2,58,"Silver Creek - Irving - NY Routes 5, 20 & 438",42.55092,-79.10812,entrance,17
1,2,58,"Silver Creek - Irving - NY Routes 5, 20 & 438",42.55092,-79.10812,exit,8
1,2,59,Dunkirk - Fredonia - NY Route 60,42.4621,-79.3058,entrance,15
1,2,59,Dunkirk - Fredonia - NY Route 60,42.4621,-79.3058,exit,21
1,2,60,Westfield - Mayville - NY Route 394,42.33869,-79.58345,entrance,3
1,2,60,Westfield - Mayville - NY Route 394,42.33869,-79.58345,exit,4
1,2,61,Ripley - Shortman Road,42.26208,-79.74435,entrance,35
1,2,61,Ripley - Shortman Road,42.26208,-79.74435,exit,24
1,2,B1,Albany - Hudson - Rensselaer - I-90 - US Route 9,42.4821,-73.67022,entrance,15
1,2,B1,Albany - Hudson - Rensselaer - I-90 - US Route 9,42.4821,-73.67022,exit,20
1,2,B2,Taconic State Parkway - NY Route 295,42.42027,-73.54834,entrance,4
1,2,B2,Taconic State Parkway - NY Route 295,42.42027,-73.54834,exit,2
1,2,B3,Austerlitz - New Lebanon - NY Route 22,42.35767,-73.42707,entrance,36
1,2,B3,Austerlitz - New Lebanon - NY Route 22,42.35767,-73.42707,exit,35
1,3,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,entrance,64
1,3,15,New Jersey - I-287 - NJ Route 17 South,41.12133,-74.16283,exit,53
1,3,16,Harriman - US Route 6 - NY Route 17,41.31065,-74.12265,entrance,8
1,3,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,entrance,38
1,3,17,Newburgh - Scranton- I-84 - NY Routes 17K & 300,41.50947,-74.07446,exit,33
1,3,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,entrance,18
1,3,18,New Paltz - Poughkeepsie - NY Route 299,41.73551,-74.0657,exit,20
1,3,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,entrance,24
1,3,19,Kingston - NY Route 28 – Kingston-Rhinecliff Bridge,41.94764,-74.02749,exit,20
1,3,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,entrance,14
1,3,20,Saugerties - Woodstock - NY Route 32,42.08306,-73.97328,exit,6
1,3,21,Catskill - Cairo - NY Route 23,42.25013,-73.88444,entrance,12
